Pair (Source -> Destination),Data Limit,Execution Time (seconds),Number of Results
ATL → CLD,1000,0.6984391212463379,0
BOS → HOU,1000,2.5209813117980957,1
ATL → AUS,1000,0.7144119739532471,0
SBN → ISP,1000,1.1842951774597168,0
ATL → CLD,2000,6.500450849533081,0
BOS → HOU,2000,13.819965839385986,1
ATL → AUS,2000,6.985147953033447,1
SBN → ISP,2000,6.826412916183472,0
ATL → CLD,3000,28.882360219955444,0
BOS → HOU,3000,41.7980682849884,1
ATL → AUS,3000,28.247745037078857,1
SBN → ISP,3000,30.574167013168335,0
ATL → CLD,4000,117.51199698448181,1
BOS → HOU,4000,125.39255690574646,1
ATL → AUS,4000,127.00208711624146,1
SBN → ISP,4000,58.93429613113403,0
